Liked,Review,,
Poor,"I don't think this location deserves even one star. ξThis is the filthiest McDonalds I have ever visited. ξI have been to hundreds of different McDonalds in numerous states as well as 19 foreign countries. I went to this location on 3/29/12 for breakfast. ξThe first thing I noticed was that the floor was sticky. (A previous reviewer made a similar comment about the play area.) When I noticed this, I said to myself, ""this isn't right."" ξThen when I looked for a place to sit, I spotted all the debris in the seat crevices and the floor. There were also flies in the dining area which I had to repeatedly brush off my food. ξAs for the food, it seemed OK, except, this was the first time ever that I was given cold syrup for my hotcakes at a McDonalds..",,
Poor,the managers at this mcdonalds are awesome but some of the workers are lazy. ξoverall an average mcdonalds. ξafter visiting it and some other once i realized that this one is really average. ξthe only thing good about this one is that the management is awesome and its across the street from my house so i can sit around and study till midnight and no one bothers me.,,
Poor,Disorganized. ξDidn't even get to order. Employees were hanging out with friends out front.,,
Poor,"THIS place IS HORRIBLE! They are also down the street from my house.. The fries are always pre sorted and they are a hot or miss. They are really good or really bad, which is really annoying. The sandwich is the same, sometimes they put fresh dripping meat on the bun and it makes it soggy, which is disgusting. Most of the times the sandwich is just plain incorrect. I've had to call corporate about the poor customer service I've had with employees and several managers at this location; as well as the constant issue of my order being messed up (which is very inconvenient in drive-thru). I'm telling you, go to the next McDonald's. The employees here hate their job and are idiots.",,
Poor,"The ice cream machine is always ""down"" after 11 p.m. If you want a hot fudge sundae, don't even bother.",,
Poor,"TOXIC DUMP! In food quality and employee humanity/work effortTypically, I do NOT eat McDonalds food; yet similar to the experience of others ""trapped"" at Northside Hospital there is no other option if you are hungry outside of the hospital cafeteria hours of operation. Due to a relatives stay and my visits/overnights for 11 weeks~ I too found myself ""trapped"" and therefore forced to buy ",,
Satisfactory,"The coffe here is the best in the city, you will also get a clear view of the city sitting here, I would love to come here daily!",,
poor,"I don't often eat at AL Fresco, or ever in fact. I don't have much expectation for healthy foods but the one thing I do expect is decent service and fast food. This branch for neither. Food was really slow to come out and I had to ask thrice for the coffee that i ordered. Shocking service delivery",,
Poor,Little bit more expensive than other branches. Beggars can't be choosy. Slow service and it's packed. its open 24/7/365. and the workers are pretty nice. didn't have many other choices and this filled the need.,,
Satisfactory,FRENCH FRY is good.........The burger tasted juicy.... But this location is fast and friendly.,,
Poor,"BEWARE! I saw the manager filling orders for customers using bare hands - no gloves or utensils to pack fries - and this is the weirdest thing ever: Imagine a finger, no gloves, super long nails, painted, and this being inserted into every cupbefore inserting the straw! Why did she need to expose customers to her nails and the shit and germs (nails looked filthy!) underneath? She was using her nails as a tool! ",,
Satisfactory,"Best pasta in the town, The new pasta with liquid cheese is must try. Coming again here. ",,
Poor," I usually really like Cashew nut salads as a quick, relatively healthy option on a tight budget, but the salads I've had at this particular restaurant has been just kind of pile of shits. There was a bad smell coming out of the salad.",,
Poor,"The worst place I've visited.I written complaints. It was well after the dinner rush, every table was dirty, floors so sticky I almost walked outta my shoes, surly staff, just plain dirty.",,
Poor,"They've gotten my order completely wrong. I go there before work around 7:30 so I'm very hungry and I ordered a burger and a pasta...  I also notice that while I'm giving my order at,the person taking it is either never paying attention or rude. I wish this would change.. ",,
Poor,Food is what you would expect from here but the management and staff could use some coaching in customer service. ξI come to this restaurant frequently in the mornings & the manager always seems to have a surly attitude. ξHe acts as though he is doing you a big favor to wait on you and even take your money. Not coming here again. worst service ever,,
Poor,"Negative review Worst Mexican pizza I have ever tasted. It had 3 layer which is more like a sandwich. Place :- American Blend, Bashundhara. ",,
Poor,"I was simply asking for a coffee, not even an entire meal. I don't post about these sort of things, but this time was different. The manager could have easily offered a variety of resolutions, but all he said was ""no I'm sorry"". Well, I'm sorry, but I've never been so dissatisfied with customer service and let alone management of a restaurant! Please stay away from this location for the sake of your pockets and your sanity.",,
Poor,"""WORST PASTAS EVER""Came here after getting so many reviews. We took 2 pastas,the famous beef naga pasta (BDT 245) and Italian baked pasta (BDT 295)",,
Satisfactory,"I've generally had good service here, but this morning at the drive-thru was the pits. ξI was initially 6 cars back from ordering, and it seriously took me about 10 minutes to get my food. ξWhen I was ordering, I had to repeat it four times very slowly and they still got my drink size wrong. ξWhen I got it, my food was great, but the visit was very painful overall. ξI hope this visit was a fluke. . .",,
Poor,"Though it was a Naga pasta but its sawder was totally unbearable!! It's just burned my stomach, This amount of sawder is totally harmful for stomach. Spicy lover also should stay away from this one!!",,
Poor,"they are making worst foods,,,they don't maintain qualities in food,,,also sometimes they would like post paid review on #FOODBANK.. Such a fraud.. Don't go there.. save money and time",,
Poor,Seems like During Ramadan famous places serves the worst food. Review is according to my taste only. Their Pasta was Disgusting..,,
Satisfactory,"Best chessiest pizza in the town. Definitely give a try , and the cold coffe is also refreshing. Good place for hangout",,
Poor,Worst food I have ever tasted Tasteless chicken and potato wedges almost burnt! There was less salt in vegetable and very less amount for 2person  Rice was full of oil serving was bad as well behaviour !,,
Poor,"I assumed this place will fill my expectation, but disappointed again, they are also charging more as service charge and food quality is hardly anything near to good.",,
Poor,"Got this home delivery pizza from Pizzahut through Hungrynaki it was totally dry, hard and cold. It's impossible to eat this pizza. A total loss of money. \",,
Satisfactory,Most meatful burger I'have aver eaten. Full of chicken and sausage. They also provide extra cheese free of cost. Satisfied to fill mu hunger,,
Satisfactory,"If you are a kacchi lover then this place is a must try, the mutton piece is huge, and quantity of rice is huge. Best kacchi I've ever eaten",,
Poor,"The first time I went here they smothered my burger with mustard and ketchup to where it was dripping on me, and the past two times I have been here the fries are old and dark, and they put like one peice of bacon on my burger. They offered me free fries tomorrow. Ha horrible place to eat",,
Poor,"I went here and it would have stopped me from ever going. you would think after all that time, at least the food would be hot. HA. just do yourself a favor and find another branch to visit. truly a disappointing stop. :-(",,
Satisfactory,The crispyest french fry you have ever eaten. This place is damn good for its fried rice too. We ordered chicken sizzlin and 3:1 fried rice and burger and french fries. Coming here again,,
Poor,"I went there and had a grilled chicken, it was as bad as before, I informed them but they didn�t pay heed to me. Wont suggest this place to you",,
Satisfactory,"Good job guys, love the friendly staff. So much better than before. Love the music music guys.",,
Poor,"I should have read some reviews before coming, the food as well as service is too bad that we had to come out in the middle of our lunch. Waste of money. Don�t come here.",,
Poor,the burgers were dry and the chicken fry inside was not well cooked. And also a smell was coming out of it. Poor food quality as well as service,,
Poor,This is the worst Al fresco Ive visited ever. The staffs are equally worse as the managers. Argues with us when we complained about the table. Also they didn�t give the food on time. Poor management,,
Satisfactory,"Bunches and bunches of foods, you could hardly choose, The sub burger is the most demanding food here in sub lovers. Also the space is quite huge and music was soothing",,
Satisfactory,"We went there on 1pm, the stuff gave us a complimentary drinks, and then served what we wanted, very fast service and they also doesn�t take more than the MRP. Satisfied with the place and food",,
Satisfactory,"This restaurent is quite new and so is their menus, Their kababs are juicy and well cooked, The chaps were also satisfactory that we finished almost 8-10 kabab and chaps. Do give this place a try",,
Poor,"Sometimes you face worst food or worst service, but this place also has worst stuffs, they wont listen to your order for thirty minutes and then will make you wait for another 45 minutes for your food. Poor service at its best",,
Poor,"Awful! Bad review, cold coffe, disgusting, seems like they poured coffe into water. Poor food at it best",,
Poor,"Very unhappy, I ordered a chicken burger but they served A beef one, I almost started eating , when I found out they didn�t apologized for it rather argued with me. Worst stuffs",,
Poor,"I have to say, this Takeout sucks. Don't get me wrong, I love  Takeout... But this particular location has some of the worst employees in fast food.",,
Poor,"Never thought I would write a review about Appeliano, they never dispappointed me till today, I found some bugs in my pasta, when complanined they hardly pay any heed to it. Not coming here again. Worst and poor service and staffs",,
Satisfactory,"Loved this place every time I visited it. The kacchi platter was on top. As there was an offer , we order 2 plattaer, they frequently asked if we need anything, There was enough rice and mutton was well cooked. Satisfied fulfilling mu hunger, Kacchi 9/10",,
Satisfactory,"Buy 1 get 1, and guess what? This is the place you are looking for in weeken. Full of meats and cheese at a resonable price. Burger Heaven",,
Poor,"Food is tasty undoubtedly, but the service is also undoubtedly disgustingly poor. They are not all keen to ask the customer who came first.  And they do not feel sorry either",,
Poor,"I don't go here often because the service is so bad! I have never left with the right order or sat in line less than 15 mins. They are now running this special where they give you a 1 min timer & if you don't get your order by the end of the min you get your meal free. But IT DOESNT COUNT IF THEY GIVE YOU WRONG ORDER! yep, they gave me 4 nuggets (in a 10 nugget box) & a coke when I ordered a burger & hi-c!! Smh They need 3 windows - one to pay , one to pick up & the last to return the wrong order & pick up the correct one!!",,
Poor,"Dirty - dirty & ξdirty. The Resturant was so dirty that there was no clean table available. ξThis is a fairly new location, so I'm not sure why it's not being better maintained . Hope somebody helps the staff at this location get it together.",,
Poor,"Things that actually made me write this review is their, poor service, waiters don�t know how to behave, food quality went down quite a long time",,
Poor,"Anyone who visits them nexrt please kindly check the bill and also think a bit before going there, If you don�t want to be irritatedby such poor service",,
Poor,"Unbelievably slow at drive thru. Slow to take your order, slow in taking your money, slow in filling your order. ξIt's torture especially when you need to be somewhere and your child is hungry. DONT GO FOR BREAKFAST there's always a line of 10 cars at the drive thru window. ξIt's no faster if you go in and order. Actually it was longer ordering inside instead of drive thru. ξUghhhhh",,
Satisfactory,Best unlimited pizza offer. We almost have 21 slices each and the delivary of foods were also fast. Satisfied souls we are,,
Satisfactory,"Best Grill near panthopath area, taste 9.5/10",,
poor,"Ice cream machine is always down, staff is rude and ghetto, food is always old. I always try to avoid it and go to a different one.",,
Poor,"Tasteless chicken and potato wedges almost burnt, there was less salt In vegetable. Rice was full of oil serving.  Wont come to this place again. Poor service",,
Poor,The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.,,
Poor,I was disgusted because I was pretty sure that was human hair.,,
Satisfactory,The selection on the menu was great and so were the prices.,,
Poor,"Although I very much liked the look and sound of this place, the actual experience was a bit disappointing.",,
Satisfactory,"Phenomenal food, service and ambiance.",,
Poor,Bland... Not a liking this place for a number of reasons and I don't want to waste time on bad reviewing.. I'll leave it at that�,,
Satisfactory,My fianc� and I came in the middle of the day and we were greeted and seated right away.,,
Poor,So don't go there if you are looking for good food�,,
Satisfactory,"I had heard good things about this place, but it exceeding every hope I could have dreamed of.",,
Poor,"Ordered a double cheeseburger & got a single patty that was falling apart (picture uploaded) Yeah, still sucks.",,
Satisfactory,"Everyone is very attentive, providing excellent customer service.",,
Poor,We waited an hour for what was a lunch I could have done 100 times better at home.,,
Poor,This greedy corporation will NEVER see another dime from me!,,
Poor,"in consistent Quality! Late Nights the food is bad, but during busy hours its good!",,
Poor,There is nothing authentic about this place. the spaghetti is nothing special whatsoever.,,
Satisfactory,The vegetables are so fresh and the sauce feels like authentic Thai.,,
Poor,I left with a stomach ache and felt sick the rest of the day.,,
Poor,This place deserves one star and 90% has to do with the food.,,
Satisfactory,"Our server was very nice, and even though he looked a little overwhelmed with all of our needs, he stayed professional and friendly until the end.",,
Poor,I found the burger dry ... Nothing else was wrong without dryness. If it would have been juicy it would've been heaven in mouth. Lack of juicyness missed it. ,,
Poor,I had forbidden them to give me any leg pc..bt still they gave 1leg pc..when I complained them..They didn't even bother to reply..😠..which was very rude,,
Satisfactory,"Well cooked and juicy burger, the honey mustard sause was great, nurger size is also huge, satisfied with it. Review 9/10",,
Poor,I am a burger lover ! Bunkers dissapointed me badly! they made this tiny little thing DISGUSTING and one more important thing some of their waiters behavior is so rude,,
Poor,The food they serve was not eatable ! The chicken was stale and smelly couldn't eat at all ! Plus they served mountain dews to us and kept 30 tk for it whether they given us the drink from 15 tk bottles one,,
Poor,"Cusomer service: Poor

The lack of items available in the menu was hard to stomach. Their kebab items werent available and they had those mainstream 'burgers' (right, wasnt it a Kebab chain? Did i read it wrong? Oh boy~) available",,
Poor,This is the worst item I've tasted in my life . Chicken fry didn't fry well and it was smelling bad -_- . The rice item was average . Curry was absolutely rubbish .,,
Poor,this is da 1st time that i couldn't finish half of the Pasta bcs the taste was very bad..worst experience for pasta..i really didn't like it at all...,,
Satisfactory,Overall the place is good. English environment little england style..,,
Poor," after i got my food, the quantity was so less! It was taste less! I mean I'm paying a good amount for the food and it's normal to expect something good not this awful taste less food! I'm really disappointed! ",,
Poor,"We were 7 people in total. So i wanted to have their lunch deal 1 but they didn't provide me that menu in the first place! But they brought it after i asked them to. And then i said i want to order set menu 1 which was around 270tk, And the waiter went blank as if he doesn't know anything!",,
Poor,"Management is very rude here, I bring my son every now and then to play ξand have witnessed on several occasions the manager  was extremley rude. I was shocked at the behavior. I still go there because its close to my house.",,
Poor,"Worst one I've eve been too! I was number 205 and I waited for ever and ever, and the manager was giving out the food and saw me standing there forever and she didn't ask me what my order was or anything. It got up to 216 when the cashier had to ask me what my order was. So slow and disorganized and barely any space to eat and sit down.",,
Satisfactory,I stopped by for a quick lunch and it took twenty minutes to get my order. Fast and good food in Khilgao,,
Poor,"After eating, all of us found nothing taste like any type of fragrant & spicy except Naga feelings. We were really stunned regarding the taste of this Burger as well as we got angry after eating this Burger. It is obvious that ""Angry One"" burger has achieved the fulfillment of its name. It totally made us disappointed. ",,
Poor,"I ordered for a maxican burger and a baked pasta, the quantity was very little compared to the price. Took extra 10tk than MRP price, Not going ever. Poor place as well as staffs",,
Poor,"Agree, worst place ever. Not only did they mess up our order, they messed up the order before ours.",,
Poor,"Went to Indian Spicy, They took extra 25% service charge which is something awkward, And the quantity was so little that we had to eat afterwards",,
Satisfactory,"Mexican club sub : quite good it was, bt kinda dry.. amount of meat was so much 😍
quality was excellent and price was cheap too only 90 taka",,
Poor,"Bad review. Got this home delivery pizza from Pizzahut through Hungrynakiit was totally dry, hard and cold. It's impossible to eat this pizza. A total loss of money.",,
Satisfactory,Refreshing smell as soon as we entered the restaurent. The pizza was quite good.,,
Poor,All the foods test were average. But at the end time my friend mysteriously found an insectin the rice of Drumstick Combos rice,,
Satisfactory,**Good Review** I ain't foody bt I like their Mirror special Iftar platter!!!,,
Poor,"worst service ever!!! If anyone wants to experience it, plz talk to the waiters specially the fat woman at the counter!!! she has a zero knowledge about their food along with a damn care attitude, at least not suitable for this kind of service based business...",,
Satisfactory,"First review in foodbank 🤗
Testing the best steak in town...it's so delicious...and well enough for one person...I have taken the picture after already finishing almost half of my steak...steak lovers must try ",,
poor,"Poor review, I have never tried such worst food. Waste of my 450 tk",,
Satisfactory,"Quantity was huge of fried rice, we couldnt end up eating. Food was just awesome",,
poor,"Bad review. . . !!

place: Shakib's
item: iftar platter
price:395+vat
taste:3/10",,
poor,"Bad review😡 Tasteless bunch of foods cooked, dry and smell coming out of it",,
Poor,Taste nothing to say....ummm to much disappointed about nandos.....,,
Poor,"Food- 6/10 (honestly, didnt get what the fuss is about. nothing out of ordinary, but not entirely bad either. ordered the set meal & masala prawn. set meal was ok, masala prawn was pretty bland)",,
Poor,"Service- 6/10 (5 mins after ordering, one waiter came up with 2 drinks that we didnt order. then after 10 mins of waiting, we asked the waiter how long its gonna take & he said 5mins. 10mins later we asked another waiter & now the reply was 10mins more! anyways while leaving, the owner personally came up & apologised for the delay",,
Poor," i loved their food n environment but Things that actually made me write this review is their:
1. Poor service
2. Waiters don't know how to behave with customers,",,
Poor,"Food quality went down quite a long way
4. We took 6 unit of an item, they made bill of 12 unit. Though we made a mistake of not checking the bill thinking they are honest but then we found they actually charged double and took advantage of our believe.",,
Poor,Anyone who visits them next please kindly check the bill and also think a bit before going there if you don't want to be irritated by such poor service. Hope they don't embarrass you by making u a fool.,,
Poor,Onek beshi spicy chilo that's why burger r actual test e pawa jay nai...size of the burger was alright 👌 Sevice system is very very poor. Also their waiters should learn some manner and courtesy...they simply damn care about the customers...,,
Poor,"Negative review of Mr. Burger at khilgaon. Food is tasty undoubtedly, but the service is also undoubtedly disgustingly poor. Food is not everything when u open a restaurant. ",,
Poor,It is more annoying when u go up to them to tell that it shouldn't have happened and they do not feel sorry at all rather ignore.,,
Poor,Don't come in.. Don't waste your time. Horrible customer service. I will be avoiding this place as much as possible.,,
Poor,It was literally the worst experience ever as their customer service is totally flawed. Waited for d food for almost an hour yet the waiters weren't sure when it'd be served,,
Satisfactory," Couldn't take all item's snap, desert items were ordinary, pasta item was not so tasty; except these in order to price & taste, whole package was simply tremendous!",,
Poor,"the waiters don't know how to behave they seemed rather moody and didn't bother for their customers. Such behavior is unexpected. They are running a business. Poor customer service won't get em anywhere,",,
Poor,"At last my friend and I just left the restaurant without saying a word. Got no review on the taste or quality of d food as it was never served.
Such restaurant service, much wow.",,
Satisfactory,I've tasted many pastas so far and I can definitely say they have one of the BEST in their menu,,
Poor,Too poor quantity for one person but pricr is too much and even the taste is yucckkyyy.Though its called butter fried but there was not even a drop of butter,,
Poor," Dish name Butter fried Mushroom.,Worst experience and a complete wastage of money",,
Satisfactory,"The set menu was a splendid one to please your tummy, the barbarian chicken was on point👌and the amount is satisfactory.",,
Poor,I have visited Meraki last night with couple of friends. The food is worthless. I have given my review at the page of Meraki which I am sharing here so people can save themselves of not being fool by this restaurant.,,
Satisfactory,Their interior is simple yet beautiful and their service is very good!!!,,
Satisfactory,Fully Satisfactory review. Really service was awesome,,
Poor,I also can understand the sub standard service of them like not serving drinks even the dinner completed as their poor management can't recruit good stuffs & train them properly,,
Poor,Awful service and extremely slow. Go elsewhere.,,
Poor,they have a bad chef so the food taste will not be good which is even tolerable. But how come this restaurant serve frozen lasagna without defrosting properly.,,
Poor,This is one of the worst restaurant in the town now.,,
Poor,Management should shut the restaurant immediately & need to learn how to run food business then re-open.,,
Poor,Making customers fool with BAD food which are over priced is not ethical at least....,,
Poor,"trust me the moment I walked in, I sensed poor level of service",,
Poor,"Years of pathetic service, disgusting food, and dangerous mistakes. Why do I keep going back? I have been going to this particular store for years.",,
Poor, the manager was kind enough to refill some items after asking for 3/4 times! And I could only have one piece of Butter Naan & 2 small pieces of Chicken butter masala! Poor place ever,,
Poor,The stuffs were moving frantically but only one manager was bringing some food but that was taking ages,,
Poor,"So horrible no matter what time of day it is, you'll always get food that has been prepared so messy.",,
Poor,verymessy and dirty. i came here late night and it was the only restaurent open in the area i think. came for the sweet tea.. and they had no more!,,
Poor,I didn't even see all the items!! Literally nothing was there when I went there the first time!!!) ,,
Poor,(Worst till the date!! The stuffs didn't seem to care and their attitude...OMG!!,,
Satisfactory,"The Hyderabadi biriyani (7/10) in the picture prices about 280tk excluding VAT , carries two pieces of mutton and felt really good in my tastebud ",,
Satisfactory, the most talked pasta on foodbank now a days is the baked pasta(250tk excluding VAT) shown in the picture ,,
Satisfactory,"Their service was satisfactory. when we complained about it, they gave us completely new ones(though we couldn't eat those either ",,
Poor,Update. Im sick of coming here and having them tell me after a long wait in line that theyre out of whatever im looking for. ,,
Poor,We waited for about 30 mins for a damn pizza.. Mosquitoes were biting ,,
Poor,Employees look like they hate their job. Milkshake was like drinking milk. Food was cold and not warm at all.,,
Poor, after providing us the menue the waiter was taking a while to come back. I found that the waiter and the manager was solving a dispute with another client. ,,
Poor," If you also go to the official page you will see numerous poor review of the Dhanmondi branch, poor service, rude waiter.",,
Poor,The worst service I've ever seen! They act like you're bothering them. I'll drive an extra couple of miles to go to another star biriyani. or just go somewhere else.,,
Poor,Really really disappointed by this ignorant attitude and i doubt i will ever go back,,
Poor,Terrible service! Staff was too busy chatting with each other . I left with my 2 children after waiting 5 min to place an order. I will never return to thisplace I will take my business elsewhere and recommend you do the same.,,
poor,Food quality & service was very poor. Environment was more thn poor Waste of money and time,,
poor,Had to wait more than 45 min after order all though there was no rush. Worst place,,
Poor,Last time couldn't even order the shake because of poor management nd gave negative review.. ,,
Poor,"Worst burger in my life, full of onions and letus.",,
Poor,I'm so disappointed with Sumi's hot in mohakhali branch. Their behaviour with their customer is very rough and the collection of cakes are not satisfactory.,,
Poor,i went to buy Mud cake at 1pm and they said cakes won't arrive before 5pm. I face the same thing before even. worst servicxe,,
Satisfactory,"Ambience : satisfactory ( 8/10 )
Service : this was served within 15-20 minutes. Acceptable I would say! ( 8/10 )
Shop name: Cheese lab",,
Poor,"and as there was no ac where we sat down,we told them if we could wait inside! They told yes and after sometime one of the waiters came and misbehaved infront of us ",,
Poor,The quantity of the full steak was even less than the half! After complaining they changed it and though it was not that satisfactory! ,,
Satisfactory,"we told the manager and he said it was because of the rush hour!! Seriously? Because you have too many customers who went their to have your food,you just decrease the quality and quantity???? ",,
Poor,"Mongolian Beef- for me, it wasn't that good. spicy enough, but i dint like the 'burnt flavor' as it was overpowering the other herbs. 6.5/10",,
Poor,their patty for beef burger was big .. but sadly dry & chewy (i dont think their cook knows what cut of meat to use and fat to meat ratio for a good burger). Poor taste of burger,,
Satisfactory,"Service: Always satisfactory 8/10 — at Madchef, I would personally recommend Mad Monstar",,
Poor,that was more like chicken kebab in a bun with BBQ sauce. To the untrained or novice tongue it would taste fancy. But when u broke it down to basics .. other than the beautiful golden bun there wasnt much to rave about. worst burger ever,,
Satisfactory,Chicken wings was fried yet very juicy. the flavors were intact and the wings were perfectly cooked and glazed. 9/10,,
Satisfactory,"Chili Garlic Prawns- Thumbs up. soft, perfectly cooked prawns, good size and good in amount too 10/10.",,
Satisfactory,Wrapped Prawns: prawns wrapped in golden Chinese noodles and fried till perfection. the prawns were soft and perfectly cooked. 10/10,,
Poor,"Many foodbankers swear by ""Takeout"" burgers that they are very best. So was looking forward to trying it. Boy was I dissapointed.",,
Poor,Too poor quantity for one person but pricr is too much and even the taste is yucckkyyy.,,
Poor,Worst experience and a complete wastage of money!!,,
Poor,"negative review
if you want to ruin your iftar and waste your 1200 taka then you must try kabsa from Cafe Entro Uttara ",,
Poor,"they serve ""kabsa"" with 2 curry. Rice was very hard. Chicken was completely tasteless.",,
Poor,"I am only giving this location one star, because you can't give zero stars. This location can't get anything right. First, my order is wrong or incomplete 7 out of 10 times. Second, the food comes out cold or the fries will not be salted often. Third, a manager/shift supervisor was extremely rude to me ",,
Poor, i told them about the poor kabsa. He got very serprised and informed us that it was their first time where they get a negative review about their food.,,
Satisfactory,Szechuan Prawns: thumbs up from my side. they are really good with their chicken and prawns. it was moist and full of flavors. a bit sweet though. 9.5/10.,,
Poor,Worst management!!! Pizza Guy.As many of you are aware that pizza guy does not take reservations for iftar and this year it's houseful by 3 or even earlier So we decided go @2pm. By 2:10 it was houseful and doors closed.,,
Satisfactory,"American Fav.Fest Pizza From  Dominous Pizza Bangladesh. It was so good, worth every penny of it.",,
Poor,Negative Review!Tasty Treat. i was really horrible.,,
Poor,"Negative review:Grand Nawab. BBQ ta j purota pura gese ta pic a clearly bujha jachche.Rice theke shuru kore,jali kabab,BBQ shob thanda cilo.Teheri ta khete motamoti cilo but puro thanda.Grand nawab chicken bbq kachchi: 1/10",,
Poor,Fokruddin kacci. Onk prosongsa sune aj gelm khete. ki r blbo taste akdom e nai. Mangso pics kub e choto. 2/10,,
Poor,"Worst burger in my life, full of onions and letus.",,
Poor,Really really disappointed by this ignorant attitude and i doubt i will ever go back,,
Satisfactory,"Quantity was huge of fried rice, we couldnt end up eating. Food was just awesome",,
Poor,Worst Vuna khichuri ever in shamser ali vula khichuri. Khichuri was so cold and also it tests really bad.,,
Poor,i went to buy Mud cake at 1pm and they said cakes won't arrive before 5pm. I face the same thing before even. worst servicxe,,
Poor,There is nothing authentic about this place. the spaghetti is nothing special whatsoever.,,
Satisfactory,"Everyone is very attentive, providing excellent customer service.",,
Poor,"Many foodbankers swear by ""Takeout"" burgers that they are very best. So was looking forward to trying it. Boy was I dissapointed.
The 1st thing that makes a good burger is juicy succulent patty .. not loads of cheese or sauce. Takeout has done a poor job on that regard .. their patty for beef burger was big .. but sadly dry & chewy (i dont think their cook knows what cut of meat to use and fat to meat ratio for a good burger).
And for Chicken bbq burger .. that was more like chicken kebab in a bun with BBQ sauce. To the untrained or novice tongue it would taste fancy. But when u broke it down to basics .. other than the beautiful golden bun there wasnt much to rave about.",,
Poor,Boy was I dissapointed.The 1st thing that makes a good burger is juicy succulent patty.,,
Poor,"Although I very much liked the look and sound of this place, the actual experience was a bit disappointing.",,
Poor,Worst pizza i have ever had! No cheese no beef. It's actually a garbase. Not Recommanded at all.,,
Satisfactory,"The service is always friendly. Food is normally fresh and well cooked. My niece liked the chicken cheese burger the most, I wish to try food here on a daily basis.",,
